rank,profile,name,url,state,revenue,growth_%,industry,workers,previous_workers,founded,yrs_on_list,metro,city,total_workers
40,https://www.inc.com/profile/allata,Allata,allata.com,TX,15200000,6134.3502,IT System Development,71,1,2014,1,Dallas,Dallas,72
41,https://www.inc.com/profile/fanchest,Fanchest,http://fanchest.com,NY,8300000,6055.9447,Retail,13,2,2014,1,New York City,New York,15
42,https://www.inc.com/profile/fund-that-flip,Fund That Flip,http://fundthatflip.com,NY,6400000,6017.8863,Real Estate,41,5,2014,1,New York City,New York,46
43,https://www.inc.com/profile/villaway,Villaway,http://villaway.com,CA,7000000,5935.6786,Travel & Hospitality,15,1,2014,2,Los Angeles,Los Angeles,16
44,https://www.inc.com/profile/IQM,IQM,http://iqm.com,NY,8800000,5852.2149,Advertising & Marketing,40,12,2014,1,New York City,New York,52
45,https://www.inc.com/profile/home-quality-remodeling,Home Quality Remodeling,homequalityremodeling.com,CA,6200000,5835.3894,Construction,10,2,2004,1,San Francisco,Concord,12
46,https://www.inc.com/profile/beeswax,Beeswax,http://beeswax.com,NY,16900000,5768.1833,Software,56,7,2014,1,New York City,New York,63
47,https://www.inc.com/profile/netizen,Netizen,http://netizencorp.com,PA,6300000,5638.3886,Security,46,5,2013,1,"Allentown-Bethlehem-Easton, PA-NJ",Allentown,51
48,https://www.inc.com/profile/phdata,phData,phdata.io,MN,9800000,5638.0311,IT Management,86,3,2014,1,Minneapolis,Minneapolis,89
49,https://www.inc.com/profile/mdstaffers,MDstaffers,http://mdstaffers.com,CA,7100000,5634.3141,Health,22,6,2010,1,Unknown,Rancho Cordova,28
50,https://www.inc.com/profile/talex,TalEx,teamtalex.com,MD,48500000,5484.3682,Human Resources,500,70,2012,3,"Washington, DC",Clarksburg,570
51,https://www.inc.com/profile/nationwide-mortgage-bankers,Nationwide Mortgage Bankers,nmbhome.com,NY,25000000,5449.642,Financial Services,400,4,2011,1,New York City,Melville,404
52,https://www.inc.com/profile/podium,Podium,podium.com,UT,42500000,5416.8842,Software,430,17,2014,2,"Provo-Orem, UT",Lehi,447
53,https://www.inc.com/profile/sia-solutions,SIA Solutions,http://siasolutions.com,TX,23900000,5059.5724,Environmental Services,60,7,2012,3,Houston,Houston,67
54,https://www.inc.com/profile/qeo-group,QEO Group,qeo.com,TX,58800000,4978.2688,Insurance,87,20,2014,2,Dallas,Irving,107
55,https://www.inc.com/profile/dropified,Dropified,dropified.com,AL,5100000,4971.4549,Business Products & Services,30,2,2015,1,"Birmingham, AL",Birmingham,32
56,https://www.inc.com/profile/sparx-hockey,Sparx Hockey,sparxhockey.com,MA,8000000,4916.2167,Consumer Products & Services,25,8,2014,1,Boston,Acton,33
57,https://www.inc.com/profile/truechoicepack,TrueChoicePack,http://truechoicepack.com,OH,7800000,4908.4033,Consumer Products & Services,7,4,2013,1,Cincinnati,Mason,11
58,https://www.inc.com/profile/ashh-dba-ooze-wholesale,Ooze Wholesale,http://oozewholesale.com,MI,25900000,4899.0269,Consumer Products & Services,30,6,2015,1,Detroit,Oak Park,36
59,https://www.inc.com/profile/progyny,Progyny,http://progyny.com,NY,107600000,4838.0226,Health,116,70,2008,2,New York City,New York,186
60,https://www.inc.com/profile/pax8,Pax8,pax8.com,CO,42400000,4820.2665,Software,254,25,2012,2,Denver,Greenwood Village,279
61,https://www.inc.com/profile/terminus,Terminus,http://terminus.com,GA,21500000,4730.0523,Software,162,21,2014,1,Atlanta,Atlanta,183
62,https://www.inc.com/profile/chomps,Chomps,chomps.com,FL,21000000,4469.2113,Food & Beverage,8,1,2012,2,Unknown,Naples,9
63,https://www.inc.com/profile/rad-power-bikes,Rad Power Bikes,radpowerbikes.com,WA,44600000,4442.2488,Manufacturing,100,3,2007,1,Seattle,Seattle,103
64,https://www.inc.com/profile/tradepending,TradePending,tradepending.com,NC,5800000,4430.138,Software,28,3,2014,1,Unknown,Chapel Hill,31
65,https://www.inc.com/profile/west-creek-financial,West Creek Financial,http://westcreekfin.com,VA,89700000,4405.2286,Financial Services,158,4,2014,1,"Richmond, VA",Glen Allen,162
66,https://www.inc.com/profile/citylift-parking,CityLift Parking,cityliftparking.com,CA,10700000,4401.8691,Construction,40,5,2015,1,San Francisco,Oakland,45
67,https://www.inc.com/profile/associated-veterans,Associated Veterans,associatedveterans.com,VA,12800000,4345.779,Government Services,64,1,2007,2,"Washington, DC",Arlington,65
68,https://www.inc.com/profile/fetch-rewards,Fetch Rewards,fetchrewards.com,WI,9000000,4322.5573,Software,63,31,2013,1,"Madison, WI",Madison,94
69,https://www.inc.com/profile/10x-genomics,10X Genomics,10xgenomics.com,CA,146300000,4308.7444,Health,380,110,2012,1,San Francisco,Pleasanton,490
70,https://www.inc.com/profile/4th-heart,4th & Heart,http://fourthandheart.com,CA,14300000,4283.2753,Food & Beverage,7,5,2014,1,Los Angeles,Venice Beach,12
71,https://www.inc.com/profile/greenprint,GreenPrint,http://greenprintcorp.com,GA,6200000,4281.4016,Energy,13,7,2014,1,Atlanta,Atlanta,20
72,https://www.inc.com/profile/sky-marketing-corporation,Sky Marketing Corporation,smcdistribution.com,TX,4700000,4279.7746,Consumer Products & Services,30,3,2015,1,Austin,Austin,33
73,https://www.inc.com/profile/pendo,Pendo,pendo.io,NC,20900000,4266.8158,Software,258,28,2013,1,"Raleigh, NC",Raleigh,286
74,https://www.inc.com/profile/core-software-technologies,Core Software Technologies,coresofttech.com,NJ,4600000,4246.751,Software,39,1,2011,3,New York City,Plainsboro,40
75,https://www.inc.com/profile/ecosystems,EcoSystems,ecosystems.com,FL,6700000,4233.6744,Environmental Services,36,2,2012,1,Miami,Miami,38
76,https://www.inc.com/profile/brickell-mens-products,Brickell Men's Products,brickellmensproducts.com,ME,10000000,4207.8615,Health,35,2,2014,1,Unknown,Portland,37
77,https://www.inc.com/profile/patton-warehousing,Patton Warehousing,pattonwarehousing.com,PA,8200000,4138.1126,Logistics & Transportation,78,11,2015,1,Unknown,Milton,89
78,https://www.inc.com/profile/sydantech,SydanTech,sydantech.com,MD,4300000,4090.7424,Government Services,14,1,2000,1,"Washington, DC",Bethesda,15
79,https://www.inc.com/profile/wt-stevens-construction,WT Stevens Construction,http://wtstevens.com,MI,7200000,4089.6557,Construction,40,6,2002,1,Unknown,Flint,46
80,https://www.inc.com/profile/wandrd,Wandrd,http://wandrd.com,UT,4700000,4088.016,Consumer Products & Services,12,2,2015,1,"Provo-Orem, UT",Orem,14
81,https://www.inc.com/profile/confidio,Confidio,confidio.com,MD,16300000,4035.1825,Health,38,8,2014,1,Baltimore,Towson,46
