rank,profile,name,url,state,revenue,growth_%,industry,workers,previous_workers,founded,yrs_on_list,metro,city,total_workers
873,https://www.inc.com/profile/marketplace-ops,Marketplace Ops,marketplaceops.com,CA,13100000,487.119,Advertising & Marketing,68,10,2014,1,Los Angeles,Los Angeles,78
874,https://www.inc.com/profile/walk-west,Walk West,walkwest.com,NC,5200000,486.8267,Advertising & Marketing,38,7,2007,2,"Raleigh, NC",Raleigh,45
875,https://www.inc.com/profile/marketopia,Marketopia,marketopia.com,FL,5400000,486.3766,Advertising & Marketing,81,23,2014,2,Tampa,Clearwater,104
876,https://www.inc.com/profile/bb-beverage-management,B&B Beverage Management,bnbbartending.com,AL,2700000,485.6782,Food & Beverage,11,3,2008,1,Unknown,Auburn,14
877,https://www.inc.com/profile/zip-moving-and-storage,Zip Moving and Storage,zipmoving.us,MD,2700000,485.4499,Logistics & Transportation,3,3,2015,1,"Washington, DC",Gaithersburg,6
878,https://www.inc.com/profile/website-closers,Website Closers,websiteclosers.com,FL,7600000,485.1663,Business Products & Services,25,5,2013,2,Tampa,Tampa,30
879,https://www.inc.com/profile/conversionpoint-technologies,ConversionPoint Technologies,conversionpoint.com,CA,39800000,484.6389,Software,86,10,2015,2,Los Angeles,Newport Beach,96
880,https://www.inc.com/profile/parrish-and-partners,Parrish and Partners,parrishandpartners.com,SC,12100000,484.589,Engineering,63,28,2013,2,"Columbia, SC",Columbia,91
881,https://www.inc.com/profile/oh-partners,OH Partners,ohpartners.com,AZ,46300000,483.9554,Advertising & Marketing,110,22,2008,7,Phoenix,Phoenix,132
882,https://www.inc.com/profile/stratus-video,Stratus Video,stratusvideo.com,FL,56400000,482.5955,Telecommunications,990,100,2011,7,Tampa,Clearwater,1090
883,https://www.inc.com/profile/etegra,Etegra,etegra.com,MO,10200000,480.6539,Engineering,44,17,2010,3,"St. Louis, MO-IL",Olivette,61
884,https://www.inc.com/profile/harper-scott,Harper Scott,harperandscott.com,NY,24200000,480.6391,Manufacturing,32,4,2014,2,New York City,New York,36
885,https://www.inc.com/profile/crossfire-sound-productions,Crossfire Sound Productions,crossfiresound.com,NY,4100000,478.8563,Consumer Products & Services,60,23,2013,1,New York City,Brooklyn,83
886,https://www.inc.com/profile/firedisc-cookers,FireDisc Cookers,firedisccookers.com,TX,2700000,478.234,Consumer Products & Services,6,5,2010,2,Houston,Houston,11
887,https://www.inc.com/profile/softrams,Softrams,softrams.com,VA,16000000,478.1969,IT System Development,100,10,2007,1,"Washington, DC",Leesburg,110
888,https://www.inc.com/profile/mdsave,MDsave,mdsave.com,TN,21300000,477.4576,Health,44,23,2012,2,Nashville,Brentwood,67
889,https://www.inc.com/profile/skynet-healthcare-technologies,Skynet Healthcare Technologies,skynethealthcare.com,FL,4700000,477.337,Health,34,12,2013,2,Tampa,Palm Harbor,46
890,https://www.inc.com/profile/peridot-solutions,Peridot Solutions,peridotsolutions.com,VA,26600000,476.8776,Business Products & Services,160,25,2007,3,"Washington, DC",McLean,185
891,https://www.inc.com/profile/dock-street-trading,Dock Street Trading,dockstreettrading.com,IN,2100000,476.232,Consumer Products & Services,9,3,2015,1,"Indianapolis, IN",Indianapolis,12
892,https://www.inc.com/profile/anchour,Anchour,anchour.com,ME,2500000,476.0364,Advertising & Marketing,19,6,2013,1,Unknown,Lewiston,25
893,https://www.inc.com/profile/hawke-media,Hawke Media,hawkemedia.com,CA,14000000,475.4508,Advertising & Marketing,130,35,2014,2,Los Angeles,Los Angeles,165
894,https://www.inc.com/profile/blue-canyon-technologies,Blue Canyon Technologies,bluecanyontech.com,CO,31100000,473.9452,Engineering,121,17,2008,3,"Boulder, CO",Boulder,138
895,https://www.inc.com/profile/sojourn-solutions,Sojourn Solutions,sojournsolutions.com,TX,4200000,473.5921,Advertising & Marketing,50,10,2015,1,Dallas,Fort Worth,60
896,https://www.inc.com/profile/mzeroacom,MzeroA.com,mzeroa.com,FL,3700000,473.5028,Education,19,3,2010,3,Unknown,Ocala,22
897,https://www.inc.com/profile/fast-slow-motion,Fast Slow Motion,fastslowmotion.com,AL,3500000,473.4922,IT System Development,25,5,2014,1,"Birmingham, AL",Birmingham,30
898,https://www.inc.com/profile/american-business-brokers,American Business Brokers,americanbizbrokers.com,UT,15700000,473.2924,Business Products & Services,4,1,2013,3,Salt Lake City,Holladay,5
899,https://www.inc.com/profile/the-retail-outsource,The Retail Outsource,theretailoutsource.com,FL,99600000,473.0072,Retail,3287,734,2000,5,Miami,Coral Gables,4021
900,https://www.inc.com/profile/procureit-network,ProcureIT Network,procureitnetwork.com,MO,4700000,472.8643,Software,2,2,2013,2,"Kansas City, MO-KS",Grain Valley,4
901,https://www.inc.com/profile/orion-consulting-group,Orion Consulting Group,orioncgi.com,MD,5100000,472.0827,Government Services,57,9,2013,1,"Washington, DC",Derwood,66
902,https://www.inc.com/profile/proforma-springboard-promotions,Proforma Springboard Promotions,springboardpromotions.com,NC,2400000,470.9415,Business Products & Services,7,2,2013,2,Unknown,Durham,9
903,https://www.inc.com/profile/centralreach,CentralReach,http://centralreach.com,FL,16400000,470.7448,Software,142,46,2012,1,Miami,Pompano Beach,188
903,https://www.inc.com/profile/lmk-clinical-research-consulting,LMK Clinical Research Consulting,lmkclinicalresearch.com,NC,2800000,470.2944,Health,38,12,2014,1,Charlotte,Huntersville,50
904,https://www.inc.com/profile/messagewrap,MessageWrap,messagewrap.com,MI,2800000,470.0645,Advertising & Marketing,14,7,2011,1,Unknown,Grand Rapids,21
905,https://www.inc.com/profile/the-pet-loss-center,The Pet Loss Center,thepetlosscenter.com,TX,8600000,469.7961,Consumer Products & Services,96,15,2014,1,Dallas,Irving,111
906,https://www.inc.com/profile/health-union,Health Union,health-union.com,PA,29600000,468.9677,Health,126,20,2010,2,Philadelphia,Philadelphia,146
907,https://www.inc.com/profile/kartago-america,Kartago America,kartagofoods.com,NJ,4600000,468.8703,Food & Beverage,3,2,2014,1,New York City,kenilworth,5
908,https://www.inc.com/profile/cardflight,CardFlight,cardflight.com,NY,7100000,468.6064,Financial Services,45,14,2013,2,New York City,New York,59
909,https://www.inc.com/profile/clientserver-technology-solutions,Clientserver Technology Solutions,http://clientservertech.com,NJ,3000000,466.7437,IT System Development,36,15,2012,2,New York City,Iselin,51
910,https://www.inc.com/profile/dlp-real-estate-capital,DLP Real Estate Capital,dlprealestate.com,PA,80900000,466.1983,Real Estate,296,55,2010,1,"Allentown-Bethlehem-Easton, PA-NJ",Bethlehem,351
911,https://www.inc.com/profile/friendly-home-services,Friendly Home Services,friendlyplumber.com,UT,9000000,465.9923,Construction,52,15,2015,1,Salt Lake City,Salt Lake City,67
912,https://www.inc.com/profile/zoup-specialty-products,Zoup! Specialty Products,zoupbroth.com,MI,2600000,465.5175,Consumer Products & Services,3,2,2012,1,Detroit,Southfield,5
913,https://www.inc.com/profile/uber-technologies,Uber Technologies,http://uber.com/ca/en,CA,11300000000,464.9123,Consumer Products & Services,22263,22263,2009,1,San Francisco,San Francisco,44526
914,https://www.inc.com/profile/engagedin,EngagedIN,http://engagedin.com,CA,2200000,464.8718,Health,8,3,2013,2,Unknown,FELTON,11
915,https://www.inc.com/profile/ragingbullcom,RagingBull.com,ragiingbull.com,NH,33600000,464.8465,Education,40,10,2010,1,Boston,LEE,50
916,https://www.inc.com/profile/holzer-resnick-contracting,Holzer Resnick Contracting,holzerresnick.com,PA,4400000,464.3846,Construction,25,4,2006,1,"Pittsburgh, PA",Pittsburgh,29
917,https://www.inc.com/profile/wishlist-rewards,Wishlist Rewards,wishlistrewards.com,CO,2700000,463.0888,Human Resources,25,9,2013,1,Denver,Denver,34
918,https://www.inc.com/profile/edge-logistics,Edge Logistics,edgelogistics.com,IL,46600000,462.9723,Logistics & Transportation,43,14,2014,2,Chicago,Chicago,57
919,https://www.inc.com/profile/visible-supply-chain-management,Visible Supply Chain Management,visiblescm.com,UT,357800000,461.0125,Logistics & Transportation,802,100,1992,2,Salt Lake City,Salt Lake City,902
920,https://www.inc.com/profile/skynet-integrations,Skynet Integrations,skynetintegrations.com,FL,2000000,460.5518,Security,8,5,2013,1,Tampa,Tampa,13
921,https://www.inc.com/profile/luxe-rv,Luxe RV,luxervrental.com,CA,2100000,459.931,Travel & Hospitality,27,12,2014,1,Los Angeles,Los Angeles,39
922,https://www.inc.com/profile/burgess-civil,Burgess Civil,burgesscivil.com,FL,14200000,459.2917,Construction,55,15,2014,1,Tampa,Tampa,70
923,https://www.inc.com/profile/chad-t-wilson-law-firm-pllc,Chad T. Wilson Law Firm,http://cwilsonlaw.com,TX,5200000,459.181,Consumer Products & Services,22,3,2011,2,Houston,Webster,25
924,https://www.inc.com/profile/flexprint-managed-print-solutions,FlexPrint Managed Print Solutions,flextg.com,AZ,257000000,458.4627,Business Products & Services,1000,195,2005,10,Phoenix,MESA,1195
925,https://www.inc.com/profile/norada-real-estate-investments,Norada Real Estate Investments,noradarealestate.com,CA,2000000,458.3101,Real Estate,10,5,2004,1,Los Angeles,Laguna Niguel,15
926,https://www.inc.com/profile/excel-impact,Excel Impact,excelimpact.com,OH,31600000,458.3096,Insurance,12,3,2013,3,Cleveland,Medina,15
927,https://www.inc.com/profile/kord-technologies,Kord Technologies,kordtechnologies.com,AL,70100000,458.0281,Government Services,243,50,2008,3,"Huntsville, AL",Huntsville,293
928,https://www.inc.com/profile/eva-garland-consulting,Eva Garland Consulting,evagarland.com,NC,2600000,457.9597,Business Products & Services,21,1,2013,2,"Raleigh, NC",Raleigh,22
929,https://www.inc.com/profile/brivity,Brivity,brivity.com,WA,10300000,457.8666,Software,90,40,2012,4,Unknown,Bellingham,130
930,https://www.inc.com/profile/natural-force,Natural Force,naturalforce.com,FL,4000000,457.5408,Food & Beverage,5,2,2009,2,"Jacksonville, FL",Jacksonville,7
931,https://www.inc.com/profile/wright-energy-partners,Wright Energy Partners,wrightled.com,MI,2100000,457.4884,Energy,15,2,2015,1,Detroit,Detroit,17
932,https://www.inc.com/profile/tech-talent-south,Tech Talent South,techtalentsouth.com,NC,2800000,456.83,Education,15,10,2014,2,Charlotte,Charlotte,25
933,https://www.inc.com/profile/fhe,FHE,builtbyfhe.com,CO,125500000,456.3699,Manufacturing,140,34,2007,3,Unknown,Fruita,174
934,https://www.inc.com/profile/beer-home-team,Beer Home Team,sandiegohomefinder.com,CA,5100000,456.3029,Real Estate,31,8,2008,3,San Diego,San Diego,39
935,https://www.inc.com/profile/global-soft-systems,Global Soft Systems,globalsoftsystems.com,KS,2100000,455.3191,IT System Development,32,5,2004,2,"Kansas City, MO-KS",Overland Park,37
936,https://www.inc.com/profile/ecomitize,Ecomitize,ecomitize.com,NE,3000000,455.2926,IT System Development,39,33,2013,2,"Omaha-Council Bluffs, NE-IA",Omaha,72
937,https://www.inc.com/profile/chenal-family-therapy,Chenal Family Therapy,chenaltherapy.com,AR,4200000,454.8189,Health,92,22,2010,2,Unknown,Little Rock,114
938,https://www.inc.com/profile/grand-canyon-gas-logs,Grand Canyon Gas Logs,grandcanyongaslogs.com,AZ,2700000,453.0578,Manufacturing,10,3,2014,1,Phoenix,Phoenix,13
939,https://www.inc.com/profile/volo,VOLO,volocity.org,MD,8500000,452.5668,Consumer Products & Services,65,3,2013,2,Baltimore,Baltimore,68
940,https://www.inc.com/profile/trupet,Trupet,trudog.com,OH,15800000,452.5416,Retail,54,15,2013,2,Cincinnati,Milford,69
941,https://www.inc.com/profile/wafts-solutions,Wafts Solutions,http://waftssolutions.com,NY,3600000,451.1012,IT System Development,40,7,2014,1,"Albany-Schenectady-Troy, NY",ALBANY,47
942,https://www.inc.com/profile/freedom-real-estate,Freedom Real Estate,freedomrealestate.biz,AL,3700000,450.5605,Real Estate,4,1,2014,1,"Huntsville, AL",Huntsville,5
943,https://www.inc.com/profile/volt-athletics,Volt Athletics,voltathletics.com,WA,2900000,450.2605,Consumer Products & Services,25,9,2011,2,Seattle,Seattle,34
944,https://www.inc.com/profile/bluewater-media,Bluewater Media,bluewatermedia.tv,FL,66500000,449.3176,Advertising & Marketing,65,33,2005,3,Tampa,Clearwater,98
945,https://www.inc.com/profile/rkb-handyman-services,RKB Handyman Services,rkb247.com,NY,5000000,449.0669,Retail,12,5,2014,1,New York City,Hauppauge,17
946,https://www.inc.com/profile/e-contractors,E Contractors,econtractors.com,TX,32200000,448.8235,Construction,33,10,2011,1,Houston,Sugar Land,43
947,https://www.inc.com/profile/rivs,RIVS,rivs.com,IL,5200000,448.3944,Software,34,28,2011,2,Chicago,Chicago,62
948,https://www.inc.com/profile/motus,Motus,http://motus.com,MA,84100000,448.2245,Software,206,90,2004,1,Boston,Boston,296
949,https://www.inc.com/profile/mj-seats,MJ Seats,mjseats.com,VA,2900000,448.118,Consumer Products & Services,1,1,2014,2,"Washington, DC",Arlington,2
950,https://www.inc.com/profile/inter-op,Inter-Op,http://inter-op.net,VA,5100000,447.8459,IT Management,52,15,2004,2,Virginia Beach,Virginia Beach,67
951,https://www.inc.com/profile/elevate-staffing,Elevate Staffing,elevate-staffing.com,CA,8000000,445.9853,Advertising & Marketing,32,7,2014,1,Los Angeles,Glendale,39
952,https://www.inc.com/profile/coffee-meets-bagel,Coffee Meets Bagel,coffeemeetsbagel.com,CA,15800000,445.5394,Consumer Products & Services,51,28,2012,2,San Francisco,San Francisco,79
953,https://www.inc.com/profile/streamline-marketing,Streamline Marketing,http://streamline-marketing.com,WA,2400000,445.2906,Advertising & Marketing,24,2,2014,2,Seattle,Seattle,26
954,https://www.inc.com/profile/gen-y-hitch,GEN-Y Hitch,genyhitch.com,IN,5200000,444.3233,Manufacturing,10,2,2012,2,Unknown,Nappanee,12
955,https://www.inc.com/profile/reverbcom,Reverb.com,reverb.com,IL,36100000,443.686,Retail,180,70,2012,3,Chicago,Chicago,250
956,https://www.inc.com/profile/tipping-point-solutions,Tipping Point Solutions,tp-solutions.com,CO,5000000,443.5866,Education,36,9,2011,2,Denver,Centennial,45
957,https://www.inc.com/profile/needwant,Need/Want,needwant.com,FL,3800000,443.186,Retail,6,5,2014,2,"St. Louis, MO-IL",Miami,11
958,https://www.inc.com/profile/socialfly,Socialfly,socialflyny.com,NY,5400000,442.7456,Advertising & Marketing,27,10,2012,2,New York City,New York,37
959,https://www.inc.com/profile/everyware,Everyware,everyware.com,TX,4100000,442.4667,Software,12,4,2015,1,Austin,Austin,16
960,https://www.inc.com/profile/trash-butler,Trash Butler,trashbutler.com,FL,3800000,442.0521,Environmental Services,195,31,2013,2,Tampa,Tampa,226
961,https://www.inc.com/profile/channel-partners-capital,Channel Partners Capital,channelpartnerscapital.com,MN,23000000,441.4271,Financial Services,41,21,2009,7,Minneapolis,Minnetonka,62
962,https://www.inc.com/profile/savan-group,Savan Group,savangroup.com,VA,13800000,441.1344,Government Services,67,25,2006,4,"Washington, DC",McLean,92
963,https://www.inc.com/profile/onit,Onit,onit.com,TX,16700000,440.8789,Software,162,25,2011,4,Houston,Houston,187
964,https://www.inc.com/profile/bettercom,Better.com,better.com,NY,20700000,440.864,Financial Services,591,55,2015,1,New York City,New York,646
965,https://www.inc.com/profile/skuid,Skuid,skuid.com,TN,20900000,439.9906,Software,142,45,2013,2,Unknown,Chattanooga,187
966,https://www.inc.com/profile/forcura,Forcura,forcura.com,FL,7100000,438.6415,Software,41,9,2012,3,"Jacksonville, FL",Jacksonville,50
967,https://www.inc.com/profile/barnallen-technologies,BarnAllen Technologies,barnallen.com,MD,63200000,438.5755,IT Management,483,132,2009,4,"Washington, DC",Rockville,615
968,https://www.inc.com/profile/dmb-financial,DMB Financial,dmbfinancial.com,MA,26400000,438.3626,Financial Services,147,41,2003,3,Boston,Beverly,188
969,https://www.inc.com/profile/audantic,Audantic,audantic.com,WA,2500000,438.3482,Business Products & Services,7,3,2014,1,Seattle,Bothell,10
970,https://www.inc.com/profile/suite-management-franchising,Suite Management Franchising,mysalonsuite.com,LA,3100000,437.9545,Real Estate,10,5,2012,1,Unknown,Metairie,15
971,https://www.inc.com/profile/the-hoth,The Hoth,thehoth.com,FL,18700000,437.3473,Advertising & Marketing,45,8,2011,3,Tampa,St Petersburg,53
972,https://www.inc.com/profile/360-energy-solutions,360 Energy Solutions,http://360energysolutions.net,FL,4800000,437.2589,Energy,24,14,2013,2,Miami,Miami,38
973,https://www.inc.com/profile/decode-digital-marketing,Decode Digital Marketing,decodedigital.co,TX,7300000,436.8432,Advertising & Marketing,30,4,2013,1,Houston,Houston,34
974,https://www.inc.com/profile/apetan-consulting,Apetan Consulting,apetan.com,NY,10000000,436.5824,IT Management,10,5,2012,2,New York City,New York city,15
975,https://www.inc.com/profile/virtue-capital-management,Virtue Capital Management,virtuecm.com,TN,6800000,436.1878,Financial Services,23,6,2013,1,Nashville,Brentwood,29
976,https://www.inc.com/profile/harts-servcies,Harts Servcies,hartsservices.com,WA,4000000,434.3761,Construction,34,6,2013,1,Seattle,TACOMA,40
977,https://www.inc.com/profile/ridge-wallet,Ridge Wallet,ridge.com,CA,19600000,432.9008,Retail,14,4,2013,1,Los Angeles,Los Angeles,18
978,https://www.inc.com/profile/american-print-consultants,American Print Consultants,apcink.com,PA,6600000,432.8847,Business Products & Services,17,4,2015,1,Unknown,Chambersburg,21
979,https://www.inc.com/profile/alley,Alley,alley.com,NY,6800000,432.8401,Business Products & Services,50,2,2012,2,New York City,New York,52
980,https://www.inc.com/profile/votto-vines-importing,Votto Vines Importing,vottovines.com,CT,39600000,432.2984,Food & Beverage,20,12,2009,6,Unknown,Hamden,32
981,https://www.inc.com/profile/scott-vicknair-hair-checki,"Scott, Vicknair, Hair & Checki",svhclaw.com,LA,4600000,431.167,Consumer Products & Services,21,7,2011,2,New Orleans,New Orleans,28
982,https://www.inc.com/profile/3d-solar,3D Solar,3-dsolar.com,FL,6800000,429.7944,Energy,43,15,2013,2,Tampa,Odessa,58
983,https://www.inc.com/profile/vessel-fwp,Vessel FWP,vesselbags.com,CA,4600000,428.7233,Retail,9,4,2012,2,San Diego,Carlsbad,13
984,https://www.inc.com/profile/advanced-computer-solutions-group,Advanced Computer Solutions Group,advancedcsg.net,NJ,3500000,428.4207,IT Management,24,7,2009,2,Philadelphia,Mount Laurel,31
985,https://www.inc.com/profile/choozle,Choozle,choozle.com,CO,17400000,428.2815,Advertising & Marketing,55,17,2012,3,Denver,Denver,72
986,https://www.inc.com/profile/ease-logistics,Ease Logistics,easelogistics.com,OH,53500000,427.4948,Logistics & Transportation,45,11,2014,2,"Columbus, OH",Dublin,56
987,https://www.inc.com/profile/crisp-marketing,Crisp Marketing,crisp.marketing,TN,10000000,427.4773,Advertising & Marketing,50,15,2007,5,Unknown,memphis,65
988,https://www.inc.com/profile/darn-good-yarn,Darn Good Yarn,darngoodyarn.com,NY,7100000,427.4387,Retail,17,3,2008,3,"Albany-Schenectady-Troy, NY",Halfmoon,20
989,https://www.inc.com/profile/beemac,Beemac,beemac.com,PA,125900000,427.2479,Logistics & Transportation,188,58,1984,1,"Pittsburgh, PA",Ambridge,246
990,https://www.inc.com/profile/preferred-home-services,Preferred Home Services,gopreferred.com,SC,8000000,426.9773,Construction,45,10,2014,1,"Charleston, SC",North Charleston,55
991,https://www.inc.com/profile/ciconix,Ciconix,http://ciconix.com,MD,4600000,426.938,Government Services,38,7,2012,2,Baltimore,Annapolis,45
992,https://www.inc.com/profile/atlanta-office-technologies,Atlanta Office Technologies,youraot.com,GA,6300000,426.6312,Business Products & Services,27,11,2014,1,Atlanta,Norcross,38
993,https://www.inc.com/profile/seek-business-capital,Seek Business Capital,seekcapital.com,CA,8800000,426.1835,Financial Services,57,15,2014,1,Los Angeles,Los Angeles,72
994,https://www.inc.com/profile/your-business-solutions,Your Business Solutions,ybs.us,TX,2000000,425.3079,IT Management,18,5,2004,1,Houston,The Woodlands,23
995,https://www.inc.com/profile/nomatic,Nomatic,nomatic.com,UT,11000000,425.0665,Consumer Products & Services,20,5,2014,1,Salt Lake City,Sandy,25
996,https://www.inc.com/profile/farmgirl-flowers,Farmgirl Flowers,farmgirlflowers.com,CA,23400000,424.8674,Retail,106,41,2010,2,San Francisco,San Francisco,147
997,https://www.inc.com/profile/bombora,Bombora,bombora.com,NY,26400000,424.7169,Advertising & Marketing,95,19,2014,1,New York City,New York,114
998,https://www.inc.com/profile/frugal-flippers,Frugal Flippers,householdtrends.com,NY,5600000,424.6089,Retail,5,1,2015,1,Unknown,Jordan,6
999,https://www.inc.com/profile/sumo-communications,SUMO Communications,sumocom.com,UT,5100000,424.4421,Telecommunications,12,2,2002,2,"Ogden-Clearfield, UT",Centerville,14
1000,https://www.inc.com/profile/home-view-technologies,Home View Technologies,liveviewtech.com,UT,16500000,424.0165,Security,110,30,2005,1,"Provo-Orem, UT",Orem,140
1001,https://www.inc.com/profile/cloudhesive,CloudHesive,cloudhesive.com,FL,4100000,423.5815,IT Management,42,6,2014,1,Miami,Fort Lauderdale,48
1002,https://www.inc.com/profile/braviant-holdings,Braviant Holdings,braviantholdings.com,IL,67300000,423.5419,Financial Services,56,22,2014,1,Chicago,Chicago,78
1003,https://www.inc.com/profile/prosomnus-sleep-technologies,ProSomnus Sleep Technologies,prosomnus.com,CA,6700000,422.2351,Health,70,15,2014,1,San Francisco,Pleasanton,85
1004,https://www.inc.com/profile/jp-and-associates-realtors,JP and Associates Realtors,http://jpar.com,TX,8900000,421.9831,Real Estate,1478,345,2011,3,Dallas,Frisco,1823
1005,https://www.inc.com/profile/23rd-group,23rd Group,23rdgroup.com,NC,21900000,420.4094,Construction,80,34,2014,2,Charlotte,Charlotte,114
1006,https://www.inc.com/profile/penji,Penji,penji.co,NJ,2600000,419.5975,Business Products & Services,43,4,2015,1,Philadelphia,Camden,47
1007,https://www.inc.com/profile/fe-international,FE International,feinternational.com,NY,3200000,419.2767,Business Products & Services,40,4,2010,1,New York City,New York,44
1008,https://www.inc.com/profile/tredence,Tredence,http://tredence.com,CA,18800000,419.1638,Business Products & Services,381,76,2012,4,San Jose,San Jose,457
1009,https://www.inc.com/profile/aps-building-services,APS Building Services,apshou.com,TX,21500000,418.7937,Business Products & Services,81,19,2014,1,Houston,Houston,100
1010,https://www.inc.com/profile/courier-distribution-systems,Courier Distribution Systems,courierds.com,GA,69900000,418.6519,Logistics & Transportation,2048,225,2004,3,Atlanta,Duluth,2273
1011,https://www.inc.com/profile/energy-toolbase,Energy Toolbase,energytoolbase.com,FL,2000000,417.7541,Energy,22,3,2014,1,Unknown,Stuart,25
1012,https://www.inc.com/profile/pathfinder-consultants,Pathfinder Consultants,pathfinderconsultants.com,VA,2900000,416.7878,Government Services,42,18,2010,1,"Washington, DC",Sterling,60
1013,https://www.inc.com/profile/mission-critical-facilities-international,Mission Critical Facilities International,missioncriticalgroup.com,TX,28900000,416.6343,IT Management,27,10,2010,4,Austin,Spicewood,37
1014,https://www.inc.com/profile/xavier-creative-house,Xavier Creative House,xaviercreative.com,PA,3100000,416.275,Advertising & Marketing,6,4,2013,1,Philadelphia,Warwick,10
1015,https://www.inc.com/profile/fastexpert,FastExpert,fastexpert.com,CA,4400000,416.0884,Real Estate,18,8,2014,2,Los Angeles,San Marino,26
1016,https://www.inc.com/profile/beverly-hills-teddy-bear,Beverly Hills Teddy Bear,plush.com,CA,50400000,415.4602,Consumer Products & Services,23,9,1992,2,Los Angeles,Newhall,32
1017,https://www.inc.com/profile/mod-pizza,MOD Pizza,http://modpizza.com,WA,311800000,414.6372,Food & Beverage,6000,3000,2008,6,Seattle,Bellevue,9000
1018,https://www.inc.com/profile/chandlee-and-sons-construction,Chandlee and Sons Construction,chandleeandsonsconstruction.com,GA,12300000,414.3056,Construction,25,5,2006,2,Atlanta,Alpharetta,30
1019,https://www.inc.com/profile/cherryblowdrybar,Cherry Blow Dry Bar,http://cherryblowdrybar.com,NJ,5600000,413.3721,Consumer Products & Services,50,5,2013,1,Unknown,Cherry Hill,55
1019,https://www.inc.com/profile/applied-development,Applied Development,applied-dev.com,MD,2300000,413.3384,Government Services,25,5,2011,1,Baltimore,Baltimore,30
1020,https://www.inc.com/profile/definitive-healthcare,Definitive Healthcare,definitivehc.com,MA,58900000,413.2693,Software,299,89,2011,3,Boston,Framingham,388
1021,https://www.inc.com/profile/reliance-partners,Reliance Partners,reliancepartners.com,TN,10100000,412.6321,Insurance,118,21,2009,4,Unknown,Chattanooga,139
1022,https://www.inc.com/profile/lief-labs,Lief Labs,lieflabs.com,CA,50100000,412.5944,Health,200,75,2008,4,Los Angeles,Valencia,275
1023,https://www.inc.com/profile/inseev-interactive,Inseev Interactive,inseev.com,CA,3800000,410.8036,Advertising & Marketing,37,4,2013,2,San Diego,San Diego,41
1024,https://www.inc.com/profile/leeward-business-advisors,Leeward Business Advisors,leewardba.com,WI,3600000,410.4849,IT Management,27,8,2014,1,Chicago,Kenosha,35
1025,https://www.inc.com/profile/e-bouchard-company,E. Bouchard Company,birthdaygalore.com,ME,3700000,410.1151,Retail,3,1,2014,1,Unknown,Caribou,4
1026,https://www.inc.com/profile/pensionmark-financial-group,Pensionmark Financial Group,pensionmark.com,CA,28400000,409.8978,Financial Services,273,120,1988,6,"Santa Barbara-Santa Maria-Goleta, CA",Santa Barbara,393
1027,https://www.inc.com/profile/shalepro-energy-services,ShalePro Energy Services,shalepro.com,PA,44300000,409.7759,Energy,342,94,2014,2,"Pittsburgh, PA",Houston,436
1028,https://www.inc.com/profile/senior-healthcare-direct,Senior Healthcare Direct,seniorhealthcaredirect.com,FL,5900000,409.5909,Insurance,28,8,2012,1,Tampa,Palm Harbor,36
1029,https://www.inc.com/profile/zippypaws,ZippyPaws,zippypaws.com,CA,15600000,409.2259,Consumer Products & Services,18,8,2011,3,"Inland Empire, CA",Chino,26
1030,https://www.inc.com/profile/stay-alfred,Stay Alfred,stayalfred.com,WA,66500000,408.9666,Travel & Hospitality,229,56,2011,4,Unknown,Spokane Valley,285
1031,https://www.inc.com/profile/cotn-wash,Dropps,http://dropps.com,PA,4200000,408.5899,Consumer Products & Services,7,4,2006,1,Philadelphia,Philadelphia,11
1032,https://www.inc.com/profile/fresh-consulting,Fresh Consulting,freshconsulting.com,WA,32500000,407.7727,Business Products & Services,194,54,2007,7,Seattle,Bellevue,248
1033,https://www.inc.com/profile/nimbelink,NimbeLink,nimbelink.com,MN,11700000,406.771,Telecommunications,18,12,2013,2,Minneapolis,plymouth,30
1034,https://www.inc.com/profile/century-support-services,Century Support Services,centuryss.com,PA,49500000,406.1393,Financial Services,278,136,2012,3,"Pittsburgh, PA",N. Huntingdon,414
1035,https://www.inc.com/profile/frontrunnerhc,FrontRunnerHC,frhc.com,MA,4200000,405.695,Software,16,9,2010,1,Boston,Plymouth,25
1036,https://www.inc.com/profile/united-carports,United Carports,unitedcarports.com,CA,7100000,405.5416,Manufacturing,34,21,2011,3,"Inland Empire, CA",Riverside,55
1037,https://www.inc.com/profile/nexxt-gen,Nexxt Gen,http://nexxtgen.com,TX,5800000,405.2874,Telecommunications,60,15,2012,1,Unknown,Irving Texas,75
1038,https://www.inc.com/profile/terradyne-engineering,Terradyne Engineering,terradyne.com,TX,6500000,405.0834,Engineering,61,14,1995,1,Dallas,Euless,75
1039,https://www.inc.com/profile/utah-global-transportation-management-solutions,Utah Global Transportation Management Solutions,gtms.us,UT,4300000,404.954,Logistics & Transportation,13,4,2009,1,Salt Lake City,Bluffdale,17
1040,https://www.inc.com/profile/pm-consulting-group,PM Consulting Group,pmconsultinggroupllc.com,MD,4200000,403.6955,Business Products & Services,60,5,2008,1,Baltimore,Towson,65
1041,https://www.inc.com/profile/greenhouse-software,Greenhouse Software,greenhouse.io,NY,38000000,403.4466,Software,267,180,2012,2,New York City,New York,447
